INFO  - 2015-04-20 18:46:32.312; org.apache.solr.core.SolrCore; [basic] Registered new searcher Searcher@6cc1cfa[basic] main{ExitableDirectoryReader(UninvertingDirectoryReader())}
INFO  - 2015-04-20 18:46:32.313; org.apache.solr.core.CoreContainer; registering core: basic
INFO  - 2015-04-20 18:46:32.314; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/jeff/Documents/workspace/dupcustomer/solr/server
INFO  - 2015-04-20 18:46:32.314; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2015-04-20 18:46:32.331; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2015-04-20 18:46:37.514; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2015-04-20 18:46:37.515; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr-webapp/webapp/},/Users/jeff/Documents/workspace/dupcustomer/solr/server/webapps/solr.war
INFO  - 2015-04-20 18:46:38.520; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=850551034
INFO  - 2015-04-20 18:46:38.521; org.apache.solr.core.SolrCore; [basic]  CLOSING SolrCore org.apache.solr.core.SolrCore@2c627046
INFO  - 2015-04-20 18:46:38.522; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0,transaction_logs_total_size=0,transaction_logs_total_number=0}
INFO  - 2015-04-20 18:46:38.522; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2015-04-20 18:46:38.522; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2015-04-20 18:46:38.523; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2015-04-20 18:46:38.526; org.apache.solr.core.SolrCore; [basic] Closing main searcher on request.
INFO  - 2015-04-20 18:46:38.527; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2015-04-20 18:46:38.527; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index [CachedDir<<refCount=0;path=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index;done=false>>]
INFO  - 2015-04-20 18:46:38.528; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index
INFO  - 2015-04-20 18:46:38.528; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data [CachedDir<<refCount=0;path=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data;done=false>>]
INFO  - 2015-04-20 18:46:38.528; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data
INFO  - 2015-04-20 18:46:38.529; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr-webapp/webapp/},/Users/jeff/Documents/workspace/dupcustomer/solr/server/webapps/solr.war
